index,url,html_file,title,screenshot,video,assets_count,notes
1,https://alluredigital.net/#content,D:\usman\allure_out\pages\page_0001.html,Allure Digital | #1 Brooklyn SEO and Web Design Agency,D:\usman\allure_out\screenshots\page_0001.png,,71,
2,https://alluredigital.net/contact-us/,D:\usman\allure_out\pages\page_0002.html,Contact Us | (212) 301-7615 | Allure Digital,D:\usman\allure_out\screenshots\page_0002.png,,34,
3,https://alluredigital.net/#,,,,,0,"error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://alluredigital.net/#"", waiting until ""networkidle""
"
4,https://alluredigital.net/,D:\usman\allure_out\pages\page_0004.html,Allure Digital | #1 Brooklyn SEO and Web Design Agency,D:\usman\allure_out\screenshots\page_0004.png,,73,
5,https://alluredigital.net/local-seo/,D:\usman\allure_out\pages\page_0005.html,Brooklyn Local SEO Services | Brooklyn SEO Consultants | Allure Digital,D:\usman\allure_out\screenshots\page_0005.png,,36,
6,https://alluredigital.net/google-map-optimization/,D:\usman\allure_out\pages\page_0006.html,Google Map Optimization | Google Maps SEO Experts Brooklyn NY | Allure Digital,D:\usman\allure_out\screenshots\page_0006.png,,34,
7,https://alluredigital.net/small-business-seo-service/,D:\usman\allure_out\pages\page_0007.html,#1 Brooklyn SEO Company for Small Business | Allure Digital,D:\usman\allure_out\screenshots\page_0007.png,,32,
8,https://alluredigital.net/local-business-citations-building/,D:\usman\allure_out\pages\page_0008.html,Local Business Citations Building Service | (212) 301-7615 | Allure Digital,D:\usman\allure_out\screenshots\page_0008.png,,32,
9,https://alluredigital.net/landing-page-optimization/,D:\usman\allure_out\pages\page_0009.html,Landing Page Optimization | Conversion Rate Optimization | Allure Digital,D:\usman\allure_out\screenshots\page_0009.png,,30,
10,https://alluredigital.net/technical-seo-service/,D:\usman\allure_out\pages\page_0010.html,Technical SEO Services | Fine Tune Your Website's SEO | Allure Digital,D:\usman\allure_out\screenshots\page_0010.png,,29,
11,https://alluredigital.net/ppc-advertising/,D:\usman\allure_out\pages\page_0011.html,A Result Driven PPC Advertising Company in Brooklyn | Allure Digital,D:\usman\allure_out\screenshots\page_0011.png,,33,
12,https://alluredigital.net/google-ads-management/,,,,,0,"error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://alluredigital.net/google-ads-management/"", waiting until ""networkidle""
"
13,https://alluredigital.net/wordpress-development/,D:\usman\allure_out\pages\page_0013.html,Leading WordPress Web Development Agency Brooklyn | Allure Digital,D:\usman\allure_out\screenshots\page_0013.png,,39,
14,https://alluredigital.net/shopify-development/,,,,,0,"error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://alluredigital.net/shopify-development/"", waiting until ""networkidle""
"
15,https://alluredigital.net/bricks-builder-development/,D:\usman\allure_out\pages\page_0015.html,Bricks Builder Development | Web Development Agency | Allure Digital,D:\usman\allure_out\screenshots\page_0015.png,,52,
16,https://alluredigital.net/social-media-management/,,,,,0,"error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://alluredigital.net/social-media-management/"", waiting until ""networkidle""
"
17,https://alluredigital.net/crm-development/,D:\usman\allure_out\pages\page_0017.html,CRM Development | (212) 301-7615 | Allure Digital,D:\usman\allure_out\screenshots\page_0017.png,,34,
18,https://alluredigital.net/who-we-are/,D:\usman\allure_out\pages\page_0018.html,Allure Digital | Digital Marketing and Web Development Agency in Brooklyn,D:\usman\allure_out\screenshots\page_0018.png,,50,
19,https://alluredigital.net/work/,D:\usman\allure_out\pages\page_0019.html,Our Work | Digital Marketing Case Studies & Success Stories,D:\usman\allure_out\screenshots\page_0019.png,,33,
20,https://alluredigital.net/blog/,D:\usman\allure_out\pages\page_0020.html,Blogs | Allure Digital,D:\usman\allure_out\screenshots\page_0020.png,,36,
21,https://alluredigital.net/#Scroll,D:\usman\allure_out\pages\page_0021.html,Allure Digital | #1 Brooklyn SEO and Web Design Agency,D:\usman\allure_out\screenshots\page_0021.png,,72,
